location_name,psmsl_id,latitude,longitude
SAN_FRANCISCO,10,37.81,-122.47
NEW_YORK,12,40.70,-74.01
FERNANDINA_BEACH,112,30.67,-81.47
SEATTLE,127,47.60,-122.34
PHILADELPHIA,135,39.93,-75.14
BALTIMORE,148,39.27,-76.58
HONOLULU,155,21.31,-157.87
SAN_DIEGO,158,32.71,-117.17
GALVESTON_II,161,29.31,-94.79
ATLANTIC_CITY,180,39.35,-74.42
PORTLAND ,183,43.66,-70.25
KEY_WEST,188,24.55,-81.81
LEWES,224,38.78,-75.12
KETCHIKAN,225,55.33,-131.62
CHARLESTON_I,234,32.78,-79.92
BOSTON,235,42.35,-71.05
LOS_ANGELES,245,33.72,-118.27
PENSACOLA,246,30.40,-87.21
LA_JOLLA,256,32.87,-117.26
ASTORIA,265,46.21,-123.77
SEWARD,266,60.12,-149.43
DAYTONA_BEACH,270,29.23,-81.00
SEAVEY_ISLAND,288,43.08,-70.74
SEWELLS_POINT,299,36.95,-76.33
HILO,300,19.73,-155.06
ANNAPOLIS,311,38.98,-76.48
MAYPORT,316,30.39,-81.43
NEWPORT,351,41.51,-71.33
WASHINGTON_DC,360,38.87,-77.02
WILLETS_POINT,362,40.79,-73.78
MIAMI_BEACH,363,25.77,-80.13
SANDY_HOOK,366,40.47,-74.01
WOODS_HOLE,367,41.52,-70.67
SANTA_MONICA,377,34.01,-118.50
CRESCENT_CITY,378,41.74,-124.18
NEAH_BAY,385,48.37,-124.61
FORT_PULASKI,395,32.03,-80.90
WILMINGTON,396,34.23,-77.95
PORTSMOUTH,399,36.82,-76.29
JUNEAU,405,58.30,-134.41
SOLOMON'S_ISLAND,412,38.32,-76.45
SITKA,426,57.05,-135.34
CEDAR_KEY_II,428,29.14,-83.03
NEW_LONDON,429,41.36,-72.09
PROVIDENCE,430,41.81,-71.40
ALAMEDA,437,37.77,-122.30
EUGENE_ISLAND,440,29.37,-91.39
YAKUTAT,445,59.55,-139.73
RICHMOND,462,37.57,-77.45
SKAGWAY,495,59.45,-135.33
PORT_ISABEL,497,26.06,-97.22
PORT_SAN_LUIS,508,35.18,-120.76
MONTAUK,519,41.05,-71.96
ST. PETERSBURG,520,27.76,-82.63
KAHULUI_HARBOR,521,20.89,-156.48
BAR_HARBOR,525,44.39,-68.20
GRAND_ISLE,526,29.26,-89.96
ROCKPORT,538,28.02,-97.05
CORDOVA,566,60.56,-145.75
KODIAK_ISLAND,567,57.73,-152.51
GLOUCESTER_POINT,597,37.25,-76.50
NETTEN,613,66.97,-171.93
RATMANOVA,617,65.85,-169.13
KIPTOPEKE_BEACH,636,37.16,-75.99
GUAYMAS,693,27.92,-110.90
LA_PAZ,695,24.17,-110.35
FREEPORT,725,28.95,-95.31
NAWILIWILI_BAY,756,21.95,-159.35
UNALASKA,757,53.88,-166.54
MAGUEYES_ISLAND,759,17.97,-67.05
NEWPORT_BAY,766,33.60,-117.88
SANDWICH_MARINA,775,41.77,-70.50
BUZZARDS_BAY,776,41.74,-70.62
REEDY_POINT,786,39.56,-75.57
ENSENADA,795,31.85,-116.63
MOKUOLOE_ISLAND,823,21.43,-157.79
GALVESTON_I,828,29.29,-94.79
QUEEN_CHARLOTTE_CITY,829,53.25,-132.07
PORT_JEFFERSON,848,40.95,-73.08
NEW_ROCHELLE,856,40.89,-73.78
PADRE_ISLAND,919,26.07,-97.15
ST-FRANCOIS,999,47.00,-70.82
TUKTOYAKTUK,1000,69.42,-132.97
SAN_JUAN,1001,18.46,-66.11
RINCON_ISLAND,1013,34.35,-119.44
PORT_MANSFIELD,1038,26.55,-97.42
ANCHORAGE,1067,61.24,-149.89
BRIDGEPORT,1068,41.17,-73.18
SELDOVIA,1070,59.44,-151.72
FORT_MYERS,1106,26.65,-81.87
NAPLES,1107,26.13,-81.81
NANTUCKET_ISLAND,1111,41.28,-70.10
CAPE_MAY,1153,38.97,-74.96
DAUPHIN_ISLAND,1156,30.25,-88.08
APALACHICOLA,1193,29.73,-84.98
SOUTH_BEACH,1196,44.62,-124.04
TADOUSSAC,1219,48.13,-69.72
ST-JOSEPH-DE-LA-RIVE,1244,47.45,-70.37
CHARLESTON_II,1269,43.34,-124.32
CAMBRIDGE_II,1295,38.57,-76.07
PORT_TOWNSEND,1325,48.11,-122.76
NIKISKI,1350,60.68,-151.40
MONTEREY,1352,36.60,-121.89
VALDEZ,1353,61.12,-146.36
TOKE_POINT,1354,46.71,-123.97
PORT-ALFRED,1392,48.33,-70.87
POINT_REYES,1394,37.99,-122.98
SPRINGMAID_PIER,1444,33.66,-78.92
CUTLER_II,1524,44.64,-67.30
RIMOUSKI,1597,48.48,-68.52
SAND_POINT,1634,55.34,-160.50
CHESAPEAKE_BAY_BR. TUN.,1635,36.97,-76.11
DUCK_PIER_OUTSIDE,1636,36.18,-75.75
BERGEN_POINT,1637,40.64,-74.14
CLEARWATER_BEACH,1638,27.98,-82.83
N. SPIT,1639,40.77,-124.22
PORT_ORFORD,1640,42.74,-124.50
PANAMA_CITY,1641,30.15,-85.67
LAKE_WORTH_PIER,1696,26.61,-80.03
VACA_KEY,1701,24.71,-81.11
NOME,1800,64.50,-165.43
SABINE_PASS_NORTH,1835,29.73,-93.87
PRUDHOE_BAY,1857,70.40,-148.53
VIRGINIA_KEY,1858,25.73,-80.16
CORPUS_CHRISTI,1903,27.58,-97.22
TRIDENT_PIER,2123,28.41,-80.59
ARENA_COVE,2125,38.91,-123.71
SANTA_BARBARA,2126,34.41,-119.69
PORT_ANGELES,2127,48.12,-123.44
KAWAIHAE,2128,20.04,-155.83
BAY_WAVELAND_YACHT_CLUB_II,2215,30.33,-89.33
OCEAN_CITY_INLET,2292,38.33,-75.09
CAPE_HATTERAS,2294,35.22,-75.64
BEAUFORT,2295,34.72,-76.67
KINGS_POINT,2322,40.81,-73.77
TOLCHESTER_BEACH,2323,39.21,-76.25
LEWISETTA,2324,37.99,-76.47
OREGON_INLET_MARINA,2325,35.80,-75.55
MAYPORT,2326,30.40,-81.43
REDWOOD_CITY,2329,37.51,-122.21
PORT_CHICAGO,2330,38.05,-122.04
